Symbol,Name,Industry,Sector,EPS,P / E,ROE,ROIC,ROA,Interest cover,PEG Ratio,Last,Avg Vol,Volume
1522.HK,BII Railway Transportation Technology Holdings Co Ltd,Information Technology Services,Technology,0.08,3.50,6.19,5.90,3.62,19.58,0.22,0.28,1718285,2148000
8281.HK,China Golden Classic Group Ltd,Household & Personal Products,Consumer Defensive,0.01,7.11,3.07,3.12,2.42,29.79,3.55,0.064,292190,288000
0320.HK,Computime Group Ltd,Electrical Equipment & Parts,Industrials,0.09,4.56,5.63,7.52,2.76,2.26,0.26,0.40,189906,180000
1538.HK,Zhong Ao Home Group Ltd,Real Estate Services,Real Estate,0.11,2.73,8.80,10.47,4.36,68.48,,0.31,444664,200000
2298.HK,Cosmo Lady (China) Holdings Co Ltd,Apparel Manufacturing,Consumer Cyclical,0.06,3.87,6.31,5.44,3.32,7.19,,0.235,1974194,708000
BCCMY,BAIC Motor Corp Ltd ADR,Auto Manufacturers,Consumer Cyclical,0.37,6.59,3.73,13.71,1.25,49.97,5.96,2.4400,992.05,620
3838.HK,China Starch Holdings Ltd,Packaged Foods,Consumer Defensive,0.09,1.98,12.38,14.54,8.10,90.79,0.11,0.179,6701498,6625000
3813.HK,Pou Sheng International Holdings Ltd,Footwear & Accessories,Consumer Cyclical,0.10,4.80,5.64,5.87,3.73,10.58,,0.475,2257636,3489000
0560.HK,Chu Kong Shipping Enterprises (Group) Co Ltd,Marine Shipping,Industrials,0.10,7.50,3.68,2.08,2.41,4.57,,0.75,544089,14000
0771.HK,Automated Systems Holdings Ltd,Information Technology Services,Technology,0.18,4.11,6.75,3.13,4.66,67.22,2.47,0.73,208004,76000
0057.HK,Chen Hsong Holdings Ltd,Specialty Industrial Machinery,Industrials,0.18,7.61,3.81,1.87,2.79,53.64,36.90,1.37,164190,70000
3382.HK,Tianjin Port Development Holdings Ltd,Marine Shipping,Industrials,0.11,5.55,5.05,4.43,1.69,7.74,1.54,0.61,2224246,1420000
6830.HK,Huazhong In-Vehicle Holdings Co Ltd,Auto Parts,Consumer Cyclical,0.03,7.80,3.02,2.93,1.17,3.36,,0.236,898757,1030000
