Symbol,Name,Industry,Sector,EPS,P / E,ROE,ROIC,ROA,Interest cover,PEG Ratio,Last,Avg Vol,Volume
6677.T,SK-Electronics Co Ltd,Electronic Components,Technology,221,9.02,7.24,10.09,5.67,333,7.10,1977.00,56290,6500
AIAGF,Aurubis AG,Metal Fabrication,Industrials,9.92,7.63,9.57,6.53,5.53,14.12,1.23,75.7000,,975
0197.KL,Wegmans Holdings Bhd,Furnishings Fixtures & Appliances,Consumer Cyclical,0.02,7.50,6.76,10.20,4.68,12.45,1.75,0.15,107408,50000
E3B.SI,Wee Hur Holdings Ltd,Engineering & Construction,Industrials,0.21,2.33,31.81,6.14,20.76,6.63,,0.490,7736593,7223400
3339.HK,Lonking Holdings Ltd,Farm & Heavy Construction Machinery,Industrials,0.20,8.45,8.00,13.53,5.20,22.34,,1.69,8548290,2480000
PMTYF,Playmates Toys Ltd,Leisure,Consumer Cyclical,0.02,4.25,20.16,62.73,15.70,155,,0.0850,138659,10000
S19.SI,Singapore Shipping Corp Ltd,Marine Shipping,Industrials,0.04,6.75,9.85,6.37,6.38,7.81,,0.275,106590,76000
PCPPF,PC Partner Group Ltd,,,0.08,7.93,8.37,12.54,4.47,6.94,0.42,0.6345,,11285
ELSA.JK,Elnusa,Oil & Gas Equipment & Services,Energy,88.77,5.07,14.23,8.97,6.51,8.05,0.56,450.00,10119103,16561400
2062.KL,Harbour-Link Group Bhd,Integrated Freight & Logistics,Industrials,0.24,5.83,12.02,19.51,8.26,48.48,0.20,1.40,125079,79300
EXE.PA,Exel Industries S.A.,Farm & Heavy Construction Machinery,Industrials,4.60,9.65,6.96,5.69,3.37,6.03,0.30,44.40,502.76,161
0411.HK,Lam Soon (Hong Kong) Ltd,Packaged Foods,Consumer Defensive,0.85,9.76,7.00,12.21,5.69,750,,8.30,5155.76,3000
0327.HK,Pax Global Technology Ltd,Business Equipment & Supplies,Industrials,0.88,5.44,12.90,19.43,10.53,181,0.32,4.79,975617,179184
7076.KL,CB Industrial Product Holding Bhd,Specialty Industrial Machinery,Industrials,0.12,9.67,6.85,4.84,4.59,5.35,1.82,1.14,151771,25000
6491.KL,Kumpulan Fima Bhd,Conglomerates,Industrials,0.37,6.38,10.73,9.13,5.93,8.68,0.56,2.37,283262,125100
UNIC.JK,Unggul Indah Cahaya,Chemicals,Basic Materials,986,7.96,8.27,9.25,6.98,42.43,0.55,7900.00,1785.71,700
COMCL.BO,Comfort Commotrade Ltd,Capital Markets,Financial Services,26.42,1.52,56.43,48.76,41.44,38.63,,40.19,17770,17440
0934.HK,SINOPEC Kantons Holdings Ltd,Oil & Gas Midstream,Energy,0.50,8.78,8.01,1.38,7.74,95.72,,4.39,2507196,502126
NRCA.JK,Nusa Raya Cipta,Engineering & Construction,Industrials,42.00,8.29,8.49,18.56,4.26,18.75,,348.00,226877,196900
LKHLY,Lonking Holdings Ltd ADR,Farm & Heavy Construction Machinery,Industrials,1.30,8.67,8.01,13.55,5.20,22.34,,11.2750,562.62,200
NDA.DE,Aurubis AG,Metal Fabrication,Industrials,9.53,7.93,9.54,6.51,5.51,14.14,1.19,75.85,141492,114770
5714.T,Dowa Holdings Co Ltd,Other Industrial Metals & Mining,Basic Materials,591,7.81,9.41,5.05,5.51,56.55,0.69,4646.00,196352,51000
LSNG.ME,Rosseti Lenenergo,Utilities - Regulated Electric,Utilities,1.93,7.76,9.34,6.50,6.25,125,0.77,14.95,646170,234368
NDA.VI,Aurubis AG,Metal Fabrication,Industrials,9.53,7.94,9.54,6.51,5.51,14.14,1.20,75.50,74.57,0
MPMX.JK,Mitra Pinasthika Mustika,Auto & Truck Dealerships,Consumer Cyclical,124,7.91,8.95,5.06,6.09,231,,980.00,1537942,863000
BYLOF,Big Yellow Group Plc,REIT - Industrial,Real Estate,1.69,7.13,11.16,4.38,9.29,6.34,2.08,12.0000,6078.29,3000
SPKOY,SINOPEC Kantons Holdings Ltd ADR,Oil & Gas Midstream,Energy,2.56,8.98,8.02,1.38,7.75,95.88,,23.0000,,119
LKFLF,Luk Fook Holdings International Ltd,Luxury Goods,Consumer Cyclical,0.27,7.59,9.80,9.59,7.57,22.52,1.19,2.0500,8986.71,10000
OROVF,Orient Overseas (International) Ltd,Marine Shipping,Industrials,1.62,8.44,9.28,6.17,6.66,27.53,0.18,13.6800,356.1,500
ALMGI.PA,MG International S.A.,Security & Protection Services,Industrials,0.54,8.52,8.32,9.01,4.94,43.62,0.45,4.80,1368.67,23
NPNYY,Nippon Yusen K.K. ADR,Marine Shipping,Industrials,1.07,5.87,14.15,4.34,9.12,10.09,0.11,6.3050,24115,8381
FUJHY,Subaru Corp ADR,Auto Manufacturers,Consumer Cyclical,1.71,5.07,16.07,15.40,8.57,4.65,0.36,8.6700,509040,280087
NXQ.L,Nexteq Plc,Computer Hardware,Technology,12.50,5.52,12.84,17.65,10.28,98.14,3.74,70.00,133344,37827
5126.KL,Sarawak Oil Palms Bhd,Farm Products,Consumer Defensive,0.47,6.47,11.74,12.01,8.29,20.51,0.31,3.05,239814,19000
BIRD.JK,Blue Bird,Railroads,Industrials,211,7.75,9.49,7.02,6.90,9.03,,1635.00,2606791,881000
EXXAF,Exxaro Resources Ltd,Thermal Coal,Energy,2.00,4.22,17.74,8.98,10.02,5.59,0.16,8.4300,1660.31,212
3737.HK,Zhongzhi Pharmaceutical Holdings Ltd,Drug Manufacturers - Specialty & Generic,Healthcare,0.14,7.29,10.29,11.92,5.99,23.19,1.32,1.02,307476,334000
6267.T,General Packer Co Ltd,Specialty Industrial Machinery,Industrials,408,6.92,11.05,9.98,6.41,944,1.40,2820.00,1133.33,1000
CLKXF,TWC Enterprises Ltd,Leisure,Consumer Cyclical,1.41,8.91,9.20,3.36,6.86,4.71,1.65,12.4650,410.43,501
FUJHF,Subaru Corp,Auto Manufacturers,Consumer Cyclical,3.42,4.97,16.07,15.40,8.57,4.65,0.37,17.4285,5591.9,945
SHREYANIND.BO,Shreyans Industries Ltd,Paper & Paper Products,Basic Materials,42.53,4.91,15.63,10.50,10.58,10.96,0.49,209.00,802.19,64
HST.VI,Hutter & Schrantz Stahlbau AG,Steel,Basic Materials,1.85,9.84,7.71,2.40,3.31,8.90,,18.20,157.19,299
BYG.L,Big Yellow Group Plc,REIT - Industrial,Real Estate,136,7.02,10.98,4.31,9.13,6.33,2.12,955.00,521409,1447980
8473.HK,MI Ming Mart Holdings Ltd,Specialty Retail,Consumer Cyclical,0.01,9.20,7.45,9.98,6.39,38.25,,0.092,205232,200000
1397.HK,Baguio Green Group Ltd,Waste Management,Industrials,0.12,5.67,13.64,7.45,5.12,5.87,0.19,0.68,128953,8000
BXP.L,Beximco Pharmaceuticals Ltd Gdr,Drug Manufacturers - Specialty & Generic,Healthcare,8.73,4.41,12.59,10.74,8.47,8.01,0.38,38.00,37512,71741
